Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     100 |         100 |       00:01:02 |       96.11% |       95.22% |       0.1293 |       0.1613 |          0.0100 |
|     101 |         101 |       00:01:03 |       96.22% |       95.15% |       0.1277 |       0.1610 |          0.0100 |
|     102 |         102 |       00:01:04 |       96.31% |       95.20% |       0.1260 |       0.1600 |          0.0100 |
|     103 |         103 |       00:01:04 |       96.30% |       95.31% |       0.1234 |       0.1607 |          0.0100 |
|     104 |         104 |       00:01:05 |       96.24% |       95.24% |       0.1228 |       0.1596 |          0.0100 |
|     105 |         105 |       00:01:05 |       96.23% |       95.27% |       0.1231 |       0.1602 |          0.0100 |
|     106 |         106 |       00:01:06 |       96.22% |       95.44% |       0.1235 |       0.1615 |          0.0100 |
|     107 |         107 |       00:01:06 |       96.36% |       95.36% |       0.1215 |       0.1636 |          0.0100 |
|     108 |         108 |       00:01:07 |       96.33% |       95.38% |       0.1212 |       0.1603 |          0.0100 |
|     109 |         109 |       00:01:08 |       96.37% |       95.42% |       0.1197 |       0.1582 |          0.0100 |
|     110 |         110 |       00:01:08 |       96.36% |       95.67% |       0.1191 |       0.1579 |          0.0100 |
|     111 |         111 |       00:01:09 |       96.39% |       95.54% |       0.1192 |       0.1557 |          0.0100 |
|     112 |         112 |       00:01:09 |       96.46% |       95.59% |       0.1184 |       0.1543 |          0.0100 |
|     113 |         113 |       00:01:10 |       96.49% |       95.49% |       0.1174 |       0.1574 |          0.0100 |
|     114 |         114 |       00:01:11 |       96.46% |       95.50% |       0.1186 |       0.1586 |          0.0100 |
|     115 |         115 |       00:01:11 |       96.44% |       95.59% |       0.1185 |       0.1564 |          0.0100 |
|     116 |         116 |       00:01:12 |       96.47% |       95.54% |       0.1172 |       0.1562 |          0.0100 |
|     117 |         117 |       00:01:12 |       96.52% |       95.69% |       0.1159 |       0.1526 |          0.0100 |
|     118 |         118 |       00:01:13 |       96.48% |       95.60% |       0.1158 |       0.1540 |          0.0100 |
|     119 |         119 |       00:01:14 |       96.47% |       95.70% |       0.1155 |       0.1558 |          0.0100 |
|     120 |         120 |       00:01:14 |       96.47% |       95.59% |       0.1154 |       0.1559 |          0.0100 |
|     121 |         121 |       00:01:15 |       96.54% |       95.55% |       0.1142 |       0.1573 |          0.0100 |
|     122 |         122 |       00:01:16 |       96.61% |       95.36% |       0.1125 |       0.1582 |          0.0100 |
|     123 |         123 |       00:01:16 |       96.60% |       95.41% |       0.1130 |       0.1580 |          0.0100 |
|     124 |         124 |       00:01:17 |       96.65% |       95.72% |       0.1118 |       0.1545 |          0.0100 |
|     125 |         125 |       00:01:17 |       96.76% |       95.79% |       0.1096 |       0.1529 |          0.0100 |
|     126 |         126 |       00:01:18 |       96.80% |       95.74% |       0.1077 |       0.1508 |          0.0100 |
|     127 |         127 |       00:01:18 |       96.77% |       95.70% |       0.1078 |       0.1523 |          0.0100 |
|     128 |         128 |       00:01:19 |       96.77% |       95.87% |       0.1081 |       0.1527 |          0.0100 |
|     129 |         129 |       00:01:20 |       96.71% |       95.84% |       0.1084 |       0.1540 |          0.0100 |
|     130 |         130 |       00:01:20 |       96.74% |       95.70% |       0.1076 |       0.1557 |          0.0100 |
|     131 |         131 |       00:01:21 |       96.68% |       95.51% |       0.1085 |       0.1588 |          0.0100 |
|     132 |         132 |       00:01:21 |       96.62% |       95.44% |       0.1098 |       0.1578 |          0.0100 |
|     133 |         133 |       00:01:22 |       96.60% |       95.51% |       0.1111 |       0.1552 |          0.0100 |
|     134 |         134 |       00:01:23 |       96.57% |       95.42% |       0.1118 |       0.1556 |          0.0100 |
|     135 |         135 |       00:01:23 |       96.56% |       95.60% |       0.1110 |       0.1536 |          0.0100 |
|     136 |         136 |       00:01:24 |       96.65% |       95.46% |       0.1095 |       0.1551 |          0.0100 |
|     137 |         137 |       00:01:24 |       96.67% |       95.50% |       0.1080 |       0.1545 |          0.0100 |
|     138 |         138 |       00:01:25 |       96.81% |       95.57% |       0.1066 |       0.1527 |          0.0100 |
|     139 |         139 |       00:01:26 |       96.80% |       95.56% |       0.1076 |       0.1543 |          0.0100 |
|     140 |         140 |       00:01:26 |       96.74% |       95.54% |       0.1082 |       0.1529 |          0.0100 |
|     141 |         141 |       00:01:27 |       96.73% |       95.64% |       0.1075 |       0.1509 |          0.0100 |
|     142 |         142 |       00:01:27 |       96.78% |       95.54% |       0.1063 |       0.1517 |          0.0100 |
|     143 |         143 |       00:01:28 |       96.76% |       95.56% |       0.1073 |       0.1517 |          0.0100 |
|     144 |         144 |       00:01:29 |       96.74% |       95.54% |       0.1078 |       0.1517 |          0.0100 |
|     145 |         145 |       00:01:29 |       96.75% |       95.79% |       0.1072 |       0.1502 |          0.0100 |
|     146 |         146 |       00:01:30 |       96.74% |       95.66% |       0.1087 |       0.1504 |          0.0100 |
|     147 |         147 |       00:01:30 |       96.78% |       95.72% |       0.1069 |       0.1491 |          0.0100 |
|     148 |         148 |       00:01:31 |       96.78% |       95.88% |       0.1063 |       0.1489 |          0.0100 |
|     149 |         149 |       00:01:32 |       96.81% |       95.58% |       0.1048 |       0.1536 |          0.0100 |
|     150 |         150 |       00:01:32 |       96.90% |       95.50% |       0.1039 |       0.1532 |          0.0100 |
|     151 |         151 |       00:01:33 |       96.90% |       95.46% |       0.1035 |       0.1552 |          0.0100 |
|     152 |         152 |       00:01:33 |       96.75% |       95.51% |       0.1061 |       0.1571 |          0.0100 |
|     153 |         153 |       00:01:34 |       96.69% |       95.48% |       0.1073 |       0.1567 |          0.0100 |
|     154 |         154 |       00:01:35 |       96.69% |       95.54% |       0.1071 |       0.1547 |          0.0100 |
